"clie_ti";"cliente";"tipo_cliente";"fecha";"vigencia_tipo"
8001;5521;1;2012-08-14 00:00:00;2012-08-14 00:00:00
8002;5443;4;2012-06-12 00:00:00;2012-06-12 00:00:00
8003;5865;1;2013-07-26 00:00:00;2013-07-26 00:00:00
8004;5813;4;2013-06-17 00:00:00;2013-06-17 00:00:00
8005;6005;4;2014-02-13 00:00:00;2014-02-13 00:00:00
8006;6531;2;2015-07-06 00:00:00;2015-07-06 00:00:00
8007;5601;4;2012-10-15 00:00:00;2012-10-15 00:00:00
8008;4804;4;2012-08-13 00:00:00;2012-08-13 00:00:00
8009;4383;4;2011-08-30 00:00:00;
8010;4383;3;2011-08-30 00:00:00;
8011;5780;4;2013-04-23 00:00:00;2013-04-23 00:00:00
8012;6074;1;2015-07-04 00:00:00;
8013;4278;3;2013-07-17 00:00:00;
8014;4278;4;2013-07-17 00:00:00;2013-07-17 00:00:00
8015;6532;2;2015-07-06 00:00:00;
8016;6532;2;2015-07-03 00:00:00;2015-07-03 00:00:00
8017;3705;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8018;3747;4;2011-08-30 00:00:00;
8019;3859;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8020;3896;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8021;3908;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8022;3940;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8023;4020;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8024;5529;4;2012-08-22 00:00:00;2012-08-22 00:00:00
8025;4113;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8026;4129;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8027;4179;4;2011-08-30 00:00:00;
8028;4218;4;2012-08-10 00:00:00;2012-08-10 00:00:00
8029;4242;4;2012-08-10 00:00:00;2012-08-10 00:00:00
8030;4384;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8031;4397;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8032;4410;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8033;4444;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8034;4449;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8035;5793;4;2013-05-10 00:00:00;2013-05-10 00:00:00
8036;5453;4;2012-06-27 00:00:00;2012-06-27 00:00:00
8037;5658;4;2012-11-30 00:00:00;2012-11-30 00:00:00
8038;4843;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8039;4906;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8040;5497;4;2012-08-07 00:00:00;2012-08-07 00:00:00
8041;6533;1;2015-07-07 00:00:00;
8042;4967;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8043;4986;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8044;4995;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8045;5012;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8046;4063;2;2011-08-30 00:00:00;2011-08-30 00:00:00
8047;5683;4;2012-12-26 00:00:00;2012-12-26 00:00:00
8048;5449;4;2012-06-25 00:00:00;2012-06-25 00:00:00
8049;5302;2;2011-12-19 00:00:00;2011-12-19 00:00:00
